date,stock_code,stock_name,dividend_per_share,total_dividend,plan
2018-06-15,600519,贵州茅台,10.9990,138.17,每10股派109.99元
2019-06-28,600519,贵州茅台,14.5390,182.64,每10股派145.39元
2020-07-10,600519,贵州茅台,17.0250,213.87,每10股派170.25元
2021-06-25,600519,贵州茅台,19.2930,242.36,每10股派192.93元
2022-06-30,600519,贵州茅台,21.6750,272.28,每10股派216.75元
2023-06-30,600519,贵州茅台,25.9110,325.49,每10股派259.11元
2024-06-27,600519,贵州茅台,30.8760,387.87,每10股派308.76元
2024-07-12,000858,五粮液,4.6780,181.61,每10股派46.78元
2024-07-18,000333,美的集团,3.0000,210.34,每10股派30元
2024-08-15,601318,中国平安,1.5000,273.62,每10股派15元
